"","pvi","pacto","indh"
"1",1,1,0
"2",0,1,0
"3",1,1,1
"4",0,1,1
"5",1,1,1
"6",0,0,1
"7",0,1,0
"8",0,1,1
"9",0,1,0
"10",1,1,0
"11",0,1,0
"12",0,1,0
"13",0,1,1
"14",0,1,0
"15",1,0,0
"16",0,1,0
"17",0,1,0
"18",0,1,0
"19",0,1,0
"20",1,1,0
"21",0,1,0
"22",0,1,1
"23",0,0,1
"24",1,1,0
"25",1,1,1
"26",0,1,0
"27",1,1,0
"28",0,1,1
"29",0,1,0
"30",0,1,0
"31",1,0,0
"32",1,1,1
"33",0,1,1
"34",1,1,1
"35",0,1,0
"36",0,0,1
"37",0,1,0
"38",1,1,1
"39",0,1,1
"40",0,0,1
"41",0,1,0
"42",0,1,0
"43",0,1,0
"44",0,1,0
"45",0,1,0
"46",0,1,0
"47",0,1,0
"48",0,1,0
"49",0,1,0
"50",1,1,1
"51",0,1,0
"52",0,1,0
"53",1,0,0
"54",0,1,1
"55",0,1,0
"56",0,1,0
"57",0,1,0
"58",0,1,0
"59",0,1,0
"60",0,1,0
"61",1,1,0
"62",0,0,1
"63",0,1,0
"64",0,1,0
"65",0,1,1
"66",1,1,0
"67",0,1,0
"68",0,0,1
"69",0,1,0
"70",0,1,0
"71",0,0,1
"72",0,0,1
"73",0,1,0
"74",0,1,1
"75",0,0,1
"76",0,1,0
"77",0,1,0
"78",1,0,0
"79",1,1,0
"80",1,1,0
"81",0,1,1
"82",1,1,0
"83",1,1,0
"84",0,1,0
"85",1,1,0
"86",0,1,0
"87",1,0,1
"88",0,1,0
"89",1,1,1
"90",0,1,0
"91",0,1,0
"92",1,1,1
"93",0,1,0
"94",0,1,0
"95",0,1,0
"96",0,1,0
"97",0,1,0
"98",1,1,1
"99",0,1,0
"100",0,1,0
"101",0,0,1
"102",0,0,1
"103",0,1,0
"104",0,1,0
"105",0,0,1
"106",0,1,1
"107",0,1,1
"108",0,1,1
"109",0,1,0
"110",0,1,0
"111",0,1,0
"112",0,1,0
"113",0,1,0
"114",0,1,0
"115",0,1,0
"116",1,1,0
"117",1,1,0
"118",0,1,1
"119",0,1,0
"120",0,1,1
"121",0,1,0
"122",0,1,0
"123",0,0,1
"124",0,1,0
"125",0,1,0
"126",1,0,0
"127",0,1,0
"128",1,0,0
"129",0,0,1
"130",0,0,1
"131",0,1,0
"132",0,1,0
"133",0,1,0
"134",1,1,1
"135",0,1,1
"136",0,1,0
"137",1,1,1
"138",0,1,0
"139",1,0,1
"140",0,0,1
"141",0,1,0
"142",0,1,0
"143",0,1,1
"144",0,1,0
"145",0,1,0
"146",0,1,0
"147",1,1,0
"148",0,1,0
"149",0,1,0
"150",0,1,0
